Tree	-lnL	ti/tv ratio	p-inv	Site	-lnL
				1	6.31700271
				2	1.65713978
				3	1.49892229
				4	1.65713978
				5	1.65713978
				6	8.53580573
				7	1.84650596
				8	1.93312276
				9	7.22928828
				10	1.84650596
				11	6.64342658
				12	8.38015811
				13	9.79897976
				14	5.69822290
				15	10.47829875
				16	1.49892229
				17	1.49892229
				18	1.65713978
				19	15.29375303
				20	11.18837371
				21	7.08900199
				22	1.49892229
				23	1.49892229
				24	1.65713978
				25	1.65713978
				26	1.65713978
				27	1.84650596
				28	7.10336364
				29	9.22833485
				30	12.50616217
				31	1.93312276
				32	1.49892229
				33	1.84650596
				34	1.93312276
				35	1.65713978
				36	1.65713978
				37	1.93312276
				38	5.32670174
				39	1.84650596
				40	1.84650596
				41	7.15676713
				42	8.07826739
				43	7.27779434
				44	1.93312276
				45	1.65713978
				46	12.47355711
				47	1.49892229
				48	7.50080301
				49	1.49892229
				50	1.84650596
				51	1.93312276
				52	10.44648862
				53	1.49892229
				54	1.84650596
				55	5.15667000
				56	6.74011877
				57	1.84650596
				58	1.93312276
				59	1.49892229
				60	1.65713978
				61	1.93312276
				62	1.93312276
				63	1.65713978
				64	1.49892229
				65	1.84650596
				66	1.93312276
				67	11.48970988
				68	1.49892229
				69	1.93312276
				70	1.93312276
				71	1.49892229
				72	1.49892229
				73	1.93312276
				74	1.49892229
				75	1.49892229
				76	7.72105383
				77	1.65713978
				78	1.65713978
				79	1.49892229
				80	1.84650596
				81	8.69897648
				82	1.93312276
				83	7.34475571
				84	1.84650596
				85	1.84650596
				86	1.65713978
				87	1.65713978
				88	1.49892229
				89	1.49892229
				90	1.84650596
				91	9.38183191
				92	1.65713978
				93	9.11931642
				94	6.68144048
				95	1.65713978
				96	1.84650596
				97	1.93312276
				98	1.49892229
				99	6.37377806
				100	1.93312276
				101	7.15676713
				102	7.72105383
				103	1.49892229
				104	1.65713978
				105	1.49892229
				106	1.65713978
				107	1.49892229
				108	1.49892229
				109	1.65713978
				110	1.93312276
				111	1.49892229
				112	1.65713978
				113	1.93312276
				114	1.84650596
				115	1.65713978
				116	1.49892229
				117	5.63165472
				118	1.84650596
				119	1.65713978
				120	1.84650596
				121	1.65713978
				122	1.84650596
				123	1.93312276
				124	1.49892229
				125	1.49892229
				126	5.11670442
				127	1.65713978
				128	5.67323767
				129	1.93312276
				130	1.49892229
				131	1.65713978
				132	1.49892229
				133	1.65713978
				134	1.80997267
				135	1.65713978
				136	1.84650596
				137	1.49892229
				138	1.49892229
				139	8.27229440
				140	6.78393409
				141	1.84650596
				142	1.65713978
				143	1.49892229
				144	1.65713978
				145	1.84650596
				146	1.93312276
				147	8.43001125
				148	8.42345835
				149	1.93312276
				150	1.65713978
				151	1.84650596
				152	1.49892229
				153	1.49892229
				154	7.55867878
				155	1.65713978
				156	1.49892229
				157	1.49892229
				158	1.84650596
				159	1.65713978
				160	1.49892229
				161	1.84650596
				162	1.65713978
				163	1.49892229
				164	1.93312276
				165	1.49892229
				166	7.70246601
				167	1.49892229
				168	1.49892229
				169	1.65713978
				170	1.65713978
				171	1.93312276
				172	1.93312276
				173	1.93312276
				174	1.93312276
				175	5.91692250
				176	5.63165472
				177	1.49892229
				178	1.84650596
				179	1.65713978
				180	1.65713978
				181	1.93312276
				182	1.49892229
				183	1.49892229
				184	1.49892229
				185	1.84650596
				186	1.49892229
				187	12.64012653
				188	1.65713978
				189	1.65713978
				190	9.80675649
				191	1.65713978
				192	1.84650596
				193	5.11670442
				194	1.49892229
				195	1.65713978
				196	1.49892229
				197	1.84650596
				198	1.65713978
				199	1.65713978
				200	5.69822290
				201	6.37377806
				202	1.84650596
				203	1.84650596
				204	1.49892229
				205	1.84650596
				206	1.49892229
				207	1.93312276
				208	1.49892229
				209	9.48900409
				210	6.31700271
				211	1.49892229
				212	1.49892229
				213	8.58447747
				214	15.37959294
				215	1.49892229
				216	1.65713978
				217	13.23765712
				218	7.57513199
				219	1.49892229
				220	1.49892229
				221	1.49892229
				222	11.25697746
				223	8.95056564
				224	13.03249000
				225	8.81599132
				226	10.18352613
				227	8.09425767
				228	1.65713978
				229	1.84650596
				230	1.93312276
				231	1.93312276
				232	1.93312276
				233	1.93312276
				234	5.63165472
				235	8.54403173
				236	1.84650596
				237	7.27779434
				238	5.15667000
				239	6.31700271
				240	1.49892229
				241	1.65713978
				242	5.28508615
				243	1.49892229
				244	1.65713978
				245	1.93312276
				246	1.49892229
				247	1.65713978
				248	1.84650596
				249	1.49892229
				250	6.75965622
				251	1.93312276
				252	1.65713978
				253	7.08469742
				254	5.67323767
				255	1.93312276
				256	1.49892229
				257	8.09425767
				258	5.11670442
				259	1.49892229
				260	1.65713978
				261	1.65713978
				262	1.93312276
				263	1.65713978
				264	1.65713978
				265	1.49892229
				266	1.84650596
				267	6.98674400
				268	5.99015315
				269	1.84650596
				270	1.49892229
				271	1.49892229
				272	1.84650596
				273	1.93312276
				274	1.65713978
				275	1.65713978
				276	7.15249395
				277	1.93312276
				278	1.84650596
				279	8.65249589
				280	1.49892229
				281	1.65713978
				282	1.65713978
				283	13.07922591
				284	11.66116578
				285	10.89340699
				286	7.11171258
				287	5.28367731
				288	6.37377806
				289	5.15667000
				290	1.49892229
				291	1.84650596
				292	1.93312276
				293	8.43001125
				294	1.65713978
				295	1.65713978
				296	1.84650596
				297	5.67323767
				298	9.36651410
				299	5.69822290
				300	6.33130536
				301	10.28531671
				302	6.63523616
				303	9.61552348
